period,period_start,period_end,imd_decile,deprivation_label,sex,le,hle,hle_pct,unhealthy_years
2013 to 2015,2013,2015,1,Most deprived,Male,73.9,52.1,70,21.800000000000004
2013 to 2015,2013,2015,1,Most deprived,Female,78.8,52.2,66,26.599999999999994
2013 to 2015,2013,2015,2,Decile 2,Male,76.0,56.2,74,19.8
2013 to 2015,2013,2015,2,Decile 2,Female,80.3,56.0,70,24.3
2013 to 2015,2013,2015,3,Decile 3,Male,77.3,59.4,77,17.9
2013 to 2015,2013,2015,3,Decile 3,Female,81.6,59.5,73,22.099999999999994
2013 to 2015,2013,2015,4,Decile 4,Male,78.6,61.7,78,16.89999999999999
2013 to 2015,2013,2015,4,Decile 4,Female,82.4,62.7,76,19.700000000000003
2013 to 2015,2013,2015,5,Decile 5,Male,79.6,64.0,80,15.599999999999994
2013 to 2015,2013,2015,5,Decile 5,Female,83.1,64.7,78,18.39999999999999
2013 to 2015,2013,2015,6,Decile 6,Male,80.4,65.0,81,15.400000000000006
2013 to 2015,2013,2015,6,Decile 6,Female,83.6,66.7,80,16.89999999999999
2013 to 2015,2013,2015,7,Decile 7,Male,81.0,66.8,83,14.200000000000005
2013 to 2015,2013,2015,7,Decile 7,Female,84.2,67.1,80,17.10000000000001
2013 to 2015,2013,2015,8,Decile 8,Male,81.4,67.5,83,13.900000000000006
2013 to 2015,2013,2015,8,Decile 8,Female,84.5,68.5,81,16.0
2013 to 2015,2013,2015,9,Decile 9,Male,82.1,68.4,83,13.699999999999989
2013 to 2015,2013,2015,9,Decile 9,Female,85.1,69.1,81,16.0
2013 to 2015,2013,2015,10,Least deprived,Male,83.1,70.4,85,12.699999999999989
2013 to 2015,2013,2015,10,Least deprived,Female,86.0,71.3,83,14.700000000000005
2014 to 2016,2014,2016,1,Most deprived,Male,73.9,52.3,71,21.60000000000001
2014 to 2016,2014,2016,1,Most deprived,Female,78.8,51.9,66,26.9
2014 to 2016,2014,2016,2,Decile 2,Male,76.0,56.3,74,19.700000000000003
2014 to 2016,2014,2016,2,Decile 2,Female,80.3,56.6,70,23.7
2014 to 2016,2014,2016,3,Decile 3,Male,77.3,59.2,77,18.099999999999994
2014 to 2016,2014,2016,3,Decile 3,Female,81.6,59.5,73,22.099999999999994
2014 to 2016,2014,2016,4,Decile 4,Male,78.7,62.1,79,16.6
2014 to 2016,2014,2016,4,Decile 4,Female,82.5,62.7,76,19.8
2014 to 2016,2014,2016,5,Decile 5,Male,79.7,64.4,81,15.299999999999995
2014 to 2016,2014,2016,5,Decile 5,Female,83.1,64.1,77,19.0
2014 to 2016,2014,2016,6,Decile 6,Male,80.4,64.9,81,15.5
2014 to 2016,2014,2016,6,Decile 6,Female,83.7,65.7,79,18.0
2014 to 2016,2014,2016,7,Decile 7,Male,81.1,66.5,82,14.599999999999994
2014 to 2016,2014,2016,7,Decile 7,Female,84.2,66.8,79,17.400000000000006
2014 to 2016,2014,2016,8,Decile 8,Male,81.5,67.4,83,14.099999999999994
2014 to 2016,2014,2016,8,Decile 8,Female,84.6,68.2,81,16.39999999999999
2014 to 2016,2014,2016,9,Decile 9,Male,82.2,68.8,84,13.400000000000006
2014 to 2016,2014,2016,9,Decile 9,Female,85.1,68.7,81,16.39999999999999
2014 to 2016,2014,2016,10,Least deprived,Male,83.2,70.2,84,13.0
2014 to 2016,2014,2016,10,Least deprived,Female,86.1,70.8,82,15.299999999999995
2015 to 2017,2015,2017,1,Most deprived,Male,73.9,52.1,71,21.800000000000004
2015 to 2017,2015,2017,1,Most deprived,Female,78.7,52.2,66,26.5
2015 to 2017,2015,2017,2,Decile 2,Male,76.0,57.0,75,19.0
2015 to 2017,2015,2017,2,Decile 2,Female,80.3,56.8,71,23.5
2015 to 2017,2015,2017,3,Decile 3,Male,77.3,59.1,76,18.2
2015 to 2017,2015,2017,3,Decile 3,Female,81.5,59.4,73,22.1
2015 to 2017,2015,2017,4,Decile 4,Male,78.7,61.9,79,16.800000000000004
2015 to 2017,2015,2017,4,Decile 4,Female,82.5,62.1,75,20.4
2015 to 2017,2015,2017,5,Decile 5,Male,79.7,64.0,80,15.700000000000005
2015 to 2017,2015,2017,5,Decile 5,Female,83.1,64.5,78,18.599999999999994
2015 to 2017,2015,2017,6,Decile 6,Male,80.4,64.7,81,15.700000000000005
2015 to 2017,2015,2017,6,Decile 6,Female,83.7,65.7,78,18.0
2015 to 2017,2015,2017,7,Decile 7,Male,81.1,66.5,82,14.599999999999994
2015 to 2017,2015,2017,7,Decile 7,Female,84.2,66.9,79,17.299999999999997
2015 to 2017,2015,2017,8,Decile 8,Male,81.5,67.7,83,13.799999999999995
2015 to 2017,2015,2017,8,Decile 8,Female,84.6,68.0,80,16.599999999999994
2015 to 2017,2015,2017,9,Decile 9,Male,82.2,68.9,84,13.299999999999995
2015 to 2017,2015,2017,9,Decile 9,Female,85.1,68.7,81,16.39999999999999
