lad_code,lad_name,imd_avg_score,imd_avg_rank,imd_pct_most_deprived,imd_extent,health_avg_score,health_pct_most_deprived
E06000001,Hartlepool,37.58,23075.98,0.4211,0.5259,1.199,0.5439
E06000002,Middlesbrough,40.037,23840.54,0.5,0.5657,1.023,0.5778
E06000003,Redcar and Cleveland,30.336,20592.69,0.25,0.3665,0.745,0.3295
E06000004,Stockton-on-Tees,25.83,17658.71,0.1935,0.3182,0.723,0.371
E06000005,Darlington,25.713,18611.35,0.197,0.2814,0.575,0.2576
E06000006,Halton,31.117,20886.57,0.3125,0.429,0.88,0.4625
E06000007,Warrington,16.835,13072.02,0.0606,0.1561,0.034,0.1061
E06000008,Blackburn with Darwen,36.899,24567.65,0.3736,0.5702,0.787,0.3516
E06000009,Blackpool,43.467,26536.86,0.4043,0.5217,1.525,0.5851
E06000010,"Kingston upon Hull, City of",37.206,24324.73,0.4167,0.52,0.784,0.375
E06000011,East Riding of Yorkshire,15.755,12648.72,0.061,0.0982,-0.358,0.0376
E06000012,North East Lincolnshire,30.213,19754.27,0.271,0.3698,0.389,0.1776
E06000013,North Lincolnshire,23.473,18590.12,0.1165,0.2107,0.218,0.0777
E06000014,York,11.814,9512.5,0.0,0.0682,-0.277,0.0413
E06000015,Derby,28.155,19898.13,0.1842,0.3611,0.488,0.1382
E06000016,Leicester,34.449,25204.55,0.2,0.495,0.366,0.135
E06000017,Rutland,9.851,8552.38,0.0,0.0,-0.955,0.0
E06000018,Nottingham,33.747,24079.07,0.3073,0.5039,0.836,0.3799
E06000019,"Herefordshire, County of",18.762,16764.48,0.0085,0.0714,-0.274,0.0
E06000020,Telford and Wrekin,24.423,19007.58,0.1304,0.252,0.436,0.1304
E06000021,Stoke-on-Trent,33.614,23586.1,0.2883,0.4945,0.948,0.3742
E06000022,Bath and North East Somerset,12.281,10247.52,0.0254,0.0384,-0.619,0.0085
E06000023,"Bristol, City of",22.496,17434.22,0.1119,0.213,0.216,0.1157
E06000024,North Somerset,15.456,12208.97,0.0652,0.0956,-0.405,0.0507
E06000025,South Gloucestershire,11.614,10114.56,0.0,0.0102,-0.566,0.0
E06000026,Plymouth,24.087,18688.94,0.1159,0.257,0.431,0.1524
E06000027,Torbay,26.917,21271.67,0.1099,0.2552,0.623,0.1429
E06000030,Swindon,17.554,14096.54,0.0714,0.1328,-0.255,0.0286
E06000031,Peterborough,27.799,21226.31,0.1322,0.3665,0.227,0.0331
E06000032,Luton,29.548,22777.92,0.136,0.3669,0.218,0.048
E06000033,Southend-on-Sea,24.027,18080.37,0.1111,0.2645,0.193,0.1111
E06000034,Thurrock,21.032,17963.05,0.03,0.1391,-0.107,0.0
E06000035,Medway,24.354,19136.32,0.0888,0.2531,0.102,0.0414
E06000036,Bracknell Forest,10.084,8640.96,0.0,0.0,-1.15,0.0
E06000037,West Berkshire,11.049,9686.36,0.0,0.0092,-0.808,0.0
E06000038,Reading,18.558,16030.61,0.0,0.1039,-0.129,0.0
E06000039,Slough,22.967,20246.11,0.0,0.122,-0.436,0.0
E06000040,Windsor and Maidenhead,8.881,7338.72,0.0,0.0,-1.566,0.0
E06000041,Wokingham,6.102,4328.48,0.0,0.0042,-1.36,0.0
E06000042,Milton Keynes,18.503,15478.75,0.0482,0.1202,-0.119,0.0301
E06000043,Brighton and Hove,20.266,16380.88,0.0788,0.1528,0.043,0.0848
E06000044,Portsmouth,26.378,20239.91,0.12,0.2533,0.298,0.12
E06000045,Southampton,25.611,20194.24,0.1184,0.2391,0.552,0.1579
E06000046,Isle of Wight,24.599,20855.08,0.0337,0.2006,0.508,0.1011
E06000047,County Durham,28.808,21488.54,0.1697,0.3602,0.836,0.3909
E06000049,Cheshire East,14.169,11388.25,0.0246,0.0952,-0.328,0.0246
E06000050,Cheshire West and Chester,17.736,13879.12,0.0856,0.1467,-0.033,0.1036
E06000051,Shropshire,17.604,15695.07,0.0101,0.0533,-0.249,0.0051
E06000052,Cornwall,22.321,19456.45,0.0327,0.1171,-0.068,0.0119
E06000053,Isles of Scilly,12.65,11924.0,0.0,0.0,-3.1,0.0
E06000054,Wiltshire,13.608,11989.35,0.0065,0.0287,-0.484,0.0033
E06000055,Bedford,19.747,16413.2,0.0427,0.1528,0.041,0.0427
E06000056,Central Bedfordshire,13.102,11409.7,0.0,0.0267,-0.486,0.0
E06000057,Northumberland,21.963,17154.36,0.11,0.2014,0.278,0.16
E06000058,"Bournemouth, Christchurch and Poole",17.513,14728.21,0.05,0.1039,-0.068,0.0417
E06000059,Dorset,16.268,14451.08,0.0224,0.0404,-0.4,0.0135
E06000060,Buckinghamshire,11.921,10315.59,0.0,0.0209,-1.05,0.0
E06000061,North Northamptonshire,18.472,15417.41,0.0439,0.1289,0.001,0.0293
E06000062,West Northamptonshire,16.646,13988.3,0.021,0.1016,-0.316,0.0252
E06000063,Cumberland,23.807,18871.62,0.1017,0.2327,0.434,0.2034
E06000064,Westmorland and Furness,17.836,14870.31,0.0634,0.0904,-0.297,0.1056
E06000065,North Yorkshire,15.799,13523.03,0.0264,0.0647,-0.412,0.0317
E06000066,Somerset,19.137,16776.04,0.0206,0.089,-0.239,0.0118
E07000008,Cambridge,11.471,9840.08,0.0,0.0206,-0.774,0.0128
E07000009,East Cambridgeshire,12.217,10996.11,0.0,0.0021,-0.672,0.0
E07000010,Fenland,26.1,21985.08,0.0893,0.2073,0.385,0.0357
E07000011,Huntingdonshire,11.804,10441.25,0.0,0.006,-0.662,0.0
E07000012,South Cambridgeshire,9.338,7928.12,0.0,0.0,-1.099,0.0
E07000032,Amber Valley,18.593,15416.02,0.038,0.1228,0.076,0.0633
E07000033,Bolsover,25.728,21151.94,0.06,0.2223,0.754,0.18
E07000034,Chesterfield,25.388,19824.62,0.1159,0.2817,0.898,0.3623
E07000035,Derbyshire Dales,13.761,12267.26,0.0233,0.0214,-0.504,0.0233
E07000036,Erewash,20.726,16252.29,0.0822,0.1855,0.244,0.0822
E07000037,High Peak,17.642,14857.49,0.0508,0.098,0.034,0.0339
E07000038,North East Derbyshire,18.689,15478.53,0.0469,0.1298,0.233,0.0938
E07000039,South Derbyshire,14.369,12308.24,0.0161,0.0537,-0.112,0.0323
E07000040,East Devon,14.548,13234.3,0.0,0.014,-0.419,0.0
E07000041,Exeter,15.946,13807.01,0.0,0.063,0.227,0.0641
E07000042,Mid Devon,18.984,17272.33,0.0,0.0441,-0.189,0.0
E07000043,North Devon,22.002,18856.77,0.0508,0.1254,-0.07,0.0847
E07000044,South Hams,15.115,14013.15,0.0,0.0065,-0.699,0.0
E07000045,Teignbridge,17.18,15446.44,0.0,0.0508,-0.082,0.0
E07000046,Torridge,23.865,20911.35,0.0,0.1027,-0.042,0.0
E07000047,West Devon,19.096,17675.39,0.0,0.0123,-0.234,0.0
E07000061,Eastbourne,23.904,18944.08,0.1333,0.2178,0.372,0.1167
E07000062,Hastings,37.255,25467.53,0.3396,0.4812,0.726,0.2264
E07000063,Lewes,16.774,14661.52,0.0,0.0723,-0.192,0.0
E07000064,Rother,22.519,19086.86,0.0517,0.1523,0.097,0.0345
E07000065,Wealden,12.655,11185.6,0.0,0.0244,-0.748,0.0
E07000066,Basildon,22.599,17615.34,0.0804,0.2521,0.02,0.0446
E07000067,Braintree,16.638,15016.0,0.0,0.0338,-0.298,0.0
E07000068,Brentwood,10.942,9499.77,0.0,0.0076,-0.866,0.0
E07000069,Castle Point,17.64,15200.88,0.0175,0.0868,-0.177,0.0
E07000070,Chelmsford,13.122,11282.76,0.0,0.0449,-0.593,0.0088
E07000071,Colchester,17.339,14827.59,0.0171,0.0864,0.002,0.0513
E07000072,Epping Forest,14.101,12591.81,0.0,0.0137,-0.957,0.0
E07000073,Harlow,21.659,19106.71,0.0172,0.0979,-0.121,0.0
E07000074,Maldon,15.976,14651.01,0.0,0.0063,-0.459,0.0
E07000075,Rochford,11.423,9526.62,0.0189,0.0263,-0.623,0.0
E07000076,Tendring,32.08,23237.65,0.2022,0.3369,0.683,0.1798
E07000077,Uttlesford,9.968,8667.39,0.0,0.0,-1.477,0.0
E07000078,Cheltenham,12.961,10306.3,0.026,0.0842,-0.534,0.026
E07000079,Cotswold,12.052,10928.22,0.0,0.0037,-1.058,0.0
E07000080,Forest of Dean,19.129,17517.86,0.0,0.0499,-0.374,0.0
E07000081,Gloucester,21.534,16397.89,0.1098,0.2386,0.254,0.0732
E07000082,Stroud,12.629,11250.16,0.0,0.0198,-0.633,0.0
E07000083,Tewkesbury,11.549,9841.54,0.0179,0.0237,-0.66,0.0
E07000084,Basingstoke and Deane,12.953,11220.01,0.0,0.0254,-0.434,0.0
E07000085,East Hampshire,9.881,8300.38,0.0,0.005,-0.935,0.0
E07000086,Eastleigh,10.996,9327.1,0.0,0.0247,-0.503,0.0
E07000087,Fareham,8.067,6244.64,0.0,0.0178,-0.799,0.0
E07000088,Gosport,23.45,18904.9,0.0893,0.2273,0.285,0.0893
E07000089,Hart,5.914,4236.16,0.0,0.0,-1.773,0.0
E07000090,Havant,21.459,16449.59,0.1139,0.2336,0.055,0.0506
E07000091,New Forest,12.941,11096.91,0.0175,0.0346,-0.558,0.0
